Dependency=division	Dependency=proto_bldg_type	Option=pre_1920	Option=1920_1945	Option=1946_1959	Option=1960_1969	Option=1970_1979	Option=1980_1989	Option=1990_1999	Option=2000_2003	Option=2004_2007	Option=2008_2012
8	small_hotel	0	0	0.356903947	0	0.472434514	0	0.170661538	0	0	0
8	strip_mall	0	0	0.076651917	0.013772109	0.232563442	0.05566666	0.005561363	0.043185638	0.204662934	0.367935937
8	super_market	0	0	0.076651917	0.013772109	0.232563442	0.05566666	0.005561363	0.043185638	0.204662934	0.367935937
8	warehouse	0	0.212313277	0.051638355	0.007723522	0.068129485	0.185661217	0.094024684	0.073644578	0.13416087	0.172704011
8	small_office	0.053884707	0	0	0.116902556	0.212408039	0.069901225	0.326860405	0.065150648	0.111824814	0.043067607
8	medium_office	0.110412609	0.080771739	0.044265461	0.069987873	0.104425921	0.176477396	0.098711571	0.093284902	0.17644219	0.045220339
8	large_office	0.110412609	0.080771739	0.044265461	0.069987873	0.104425921	0.176477396	0.098711571	0.093284902	0.17644219	0.045220339
8	no_match	0.005820403	0.060331874	0.133133865	0.071547101	0.180276547	0.141023191	0.150197245	0.113061445	0.110672549	0.03393578
9	full_service_restaurant	0.022707347	0.176359829	0.155471877	0.16962979	0.148202883	0.065875154	0.173928594	0.064945517	0.022879007	0
9	hospital	0	0.004660458	0.109707773	0.076304824	0.21003157	0.033411007	0.165430057	0.013998979	0.037318874	0.349136458
9	large_hotel	0	0	0	0.106886439	0.029350531	0.330025048	0.305046277	0.086047867	0.108037577	0.034606262
9	midrise_apartment	0	0.325963557	0.182849598	0.316916385	0.012495648	0.02061278	0.128874056	0.012287976	0	0
9	highrise_apartment	0	0.325963557	0.182849598	0.316916385	0.012495648	0.02061278	0.128874056	0.012287976	0	0
9	outpatient	0.03788953	0.04994965	0.163106696	0.015606998	0.147915859	0.182222522	0.199678968	0.099523036	0.103594946	0.000511795
9	primary_school	0.001949684	0.008865752	0.198496696	0.188448752	0.058566428	0.063868119	0.173679395	0.220639608	0.078970349	0.006515218
9	quick_service_restaurant	0	0.061218316	0.080703917	0.295394424	0.114490661	0.229860095	0.102981016	0.06559454	0	0.04975703
9	retail	0.04304293	0.201242451	0.252759977	0.123570862	0.101030832	0.00947905	0.127896848	0.01614865	0.050087709	0.07474069
9	secondary_school	0	0.101953655	0.065906996	0.059094997	0.327407382	0.055757266	0.121969897	0.156016629	0	0.111893178
9	small_hotel	0.001077881	0.164919878	0	0.218487901	0.233729827	0.213272824	0.07424613	0	0.047132779	0.047132779
9	strip_mall	0	0	0.14198096	0.172785816	0.122602362	0.152565283	0.133558098	0.025414951	0.138683016	0.112409513
9	super_market	0	0	0.14198096	0.172785816	0.122602362	0.152565283	0.133558098	0.025414951	0.138683016	0.112409513
9	warehouse	0	0.013870513	0.040892252	0.189010647	0.215861617	0.253944771	0.067748231	0.117547276	0.076919378	0.024205316
9	small_office	0	0.119861867	0.176289732	0.087684011	0.034071696	0.230059815	0.198394681	0.02792694	0.058975819	0.06673544
9	medium_office	0.040291014	0.090948018	0.174132193	0.082388341	0.158304516	0.224249501	0.134625548	0.041793451	0.023492727	0.029774692
9	large_office	0.040291014	0.090948018	0.174132193	0.082388341	0.158304516	0.224249501	0.134625548	0.041793451	0.023492727	0.029774692
9	no_match	0.057982015	0.082374594	0.149929123	0.112474153	0.115386637	0.198295667	0.123953439	0.034886612	0.072897766	0.051819994
